segment,component,variant,count,top_quartile_avg_r,top_decile_avg_r,bottom_decile_avg_r,top_quartile_win_rate,top_decile_win_rate,bottom_decile_win_rate,eqh_top_quartile_avg_r,eql_top_quartile_avg_r,eqh_top_quartile_win_rate,eql_top_quartile_win_rate,rank_corr,eqh_rank_corr,eql_rank_corr,win_rate_gap,variance_zero,stability_classification
3-touch+,width_component,neutralized,7,0.104051495553908,0.104051495553908,0.104051495553908,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.18297738225360843,0.4867566659639299,0.5,0.3333333333333333,,,,0.0,True,degenerate
3-touch+,formation_delay_component,current,7,1.4517125730902034,0.8594959412117744,-0.4985810460356584,1.0,1.0,0.0,0.8594959412117744,2.043929204968632,1.0,1.0,0.5363636363636364,0.5000000000000001,1.0,1.0,False,stable_positive
3-touch+,formation_delay_component,inverted,7,-0.3633288387539555,-0.4985810460356584,0.8594959412117744,0.3333333333333333,0.0,1.0,-0.2957027351131041,-0.4985810460356584,0.5,0.0,-0.5363636363636364,-0.5000000000000001,-1.0,-0.6666666666666667,False,stable_negative
3-touch+,formation_delay_component,neutralized,7,0.104051495553908,0.104051495553908,0.104051495553908,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.18297738225360843,0.4867566659639299,0.5,0.3333333333333333,,,,0.0,False,degenerate
3-touch+,wick_ratio_component,current,7,1.226261867371212,2.043929204968632,-1.0,1.0,1.0,0.0,0.40859452977379185,2.043929204968632,1.0,1.0,0.5765999761251578,0.21081851067789195,0.5,1.0,False,stable_positive
3-touch+,wick_ratio_component,inverted,7,-0.07025202939411279,-1.0,2.043929204968632,0.5,0.0,1.0,-0.07025202939411279,,0.5,,-0.5765999761251578,-0.21081851067789195,-0.5,-0.5,False,stable_negative
3-touch+,wick_ratio_component,neutralized,7,0.104051495553908,0.104051495553908,0.104051495553908,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.18297738225360843,0.4867566659639299,0.5,0.3333333333333333,,,,0.0,False,degenerate
3-touch+,atr_percentile_component,current,7,-0.7492905230178292,-0.4985810460356584,-0.22549454375579744,0.0,0.0,0.3333333333333333,-1.0,-0.4985810460356584,0.0,0.0,-0.07479575920067658,-0.05555555555555556,-0.5,-0.3333333333333333,False,stable_positive
3-touch+,atr_percentile_component,inverted,7,-0.22549454375579744,-0.22549454375579744,-0.4985810460356584,0.3333333333333333,0.3333333333333333,0.0,-0.2957027351131041,-0.08507816104118415,0.5,0.0,0.07479575920067658,0.05555555555555556,0.5,0.3333333333333333,False,stable_negative
3-touch+,atr_percentile_component,neutralized,7,0.104051495553908,0.104051495553908,0.104051495553908,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.18297738225360843,0.4867566659639299,0.5,0.3333333333333333,,,,0.0,False,degenerate
3-touch+,distance_at_detect_component,current,7,0.7726740794664869,-0.4985810460356584,-1.0,0.5,0.0,0.0,,0.7726740794664869,,0.5,0.594618725379069,0.9486832980505139,-0.5,0.5,False,stable_positive
3-touch+,distance_at_detect_component,inverted,7,-1.0,-1.0,-0.4985810460356584,0.0,0.0,0.0,-1.0,,0.0,,-0.594618725379069,-0.9486832980505139,0.5,0.0,False,stable_negative
3-touch+,distance_at_detect_component,neutralized,7,0.104051495553908,0.104051495553908,0.104051495553908,0.42857142857142855,0.42857142857142855,0.42857142857142855,-0.18297738225360843,0.4867566659639299,0.5,0.3333333333333333,,,,0.0,False,degenerate
first_half,width_component,current,233,-0.09266141928720327,-0.14755582568927092,0.22973678699557953,0.4576271186440678,0.5,0.47058823529411764,-0.2191401444730729,0.006988485404694003,0.5,0.42424242424242425,-0.019996497326509016,-0.0545841914209437,0.0019762423129271512,-0.012961116650049842,False,stable_negative
first_half,width_component,inverted,233,0.2294662983189523,0.22973678699557953,-0.14755582568927092,0.4576271186440678,0.47058823529411764,0.5,0.15978744007442594,0.28436479269342757,0.46153846153846156,0.45454545454545453,0.019996497326509016,0.0545841914209437,-0.0019762423129271512,-0.0423728813559322,False,stable_positive
first_half,width_component,neutralized,233,0.05861731792418751,0.05861731792418751,0.05861731792418751,0.4592274678111588,0.4592274678111588,0.4592274678111588,0.04299873938420967,0.07357965366836795,0.49122807017543857,0.42857142857142855,,,,0.0,False,degenerate
